,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
49,Alabama,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),48,1.0
50,Alabama,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),39,0.8
51,Alabama,2007,Drug-induced causes,All other drug-induced causes,43,0.9
53,Alabama,2007,Alcohol-induced causes,All other alcohol-induced causes,237,5.1
55,Alabama,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),485,10.3
56,Alabama,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),47,1.0
57,Alabama,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),75,1.6
58,Alabama,2008,Drug-induced causes,All other drug-induced causes,39,0.8
59,Alabama,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",24,0.5
60,Alabama,2008,Alcohol-induced causes,All other alcohol-induced causes,226,4.8
62,Alabama,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),537,11.3
63,Alabama,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),52,1.1
64,Alabama,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),38,0.8
65,Alabama,2009,Drug-induced causes,All other drug-induced causes,58,1.2
67,Alabama,2009,Alcohol-induced causes,All other alcohol-induced causes,223,4.7
69,Alabama,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),463,9.7
70,Alabama,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),54,1.1
71,Alabama,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),27,0.6
72,Alabama,2010,Drug-induced causes,All other drug-induced causes,38,0.8
74,Alabama,2010,Alcohol-induced causes,All other alcohol-induced causes,249,5.2
76,Alabama,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),485,10.1
77,Alabama,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),37,0.8
78,Alabama,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),26,0.5
79,Alabama,2011,Drug-induced causes,All other drug-induced causes,53,1.1
80,Alabama,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",26,0.5
81,Alabama,2011,Alcohol-induced causes,All other alcohol-induced causes,223,4.6
83,Alabama,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),478,9.9
84,Alabama,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),57,1.2
85,Alabama,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),27,0.6
86,Alabama,2012,Drug-induced causes,All other drug-induced causes,70,1.5
88,Alabama,2012,Alcohol-induced causes,All other alcohol-induced causes,263,5.5
90,Alabama,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),520,10.8
91,Alabama,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),44,0.9
92,Alabama,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),34,0.7
93,Alabama,2013,Drug-induced causes,All other drug-induced causes,50,1.0
95,Alabama,2013,Alcohol-induced causes,All other alcohol-induced causes,240,5.0
97,Alabama,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),639,13.2
98,Alabama,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),50,1.0
99,Alabama,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),33,0.7
100,Alabama,2014,Drug-induced causes,All other drug-induced causes,77,1.6
101,Alabama,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.5
102,Alabama,2014,Alcohol-induced causes,All other alcohol-induced causes,288,5.9
104,Alabama,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),657,13.5
105,Alabama,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),44,0.9
106,Alabama,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),35,0.7
107,Alabama,2015,Drug-induced causes,All other drug-induced causes,74,1.5
108,Alabama,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",29,0.6
109,Alabama,2015,Alcohol-induced causes,All other alcohol-induced causes,287,5.9
111,Alabama,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),680,14.0
112,Alabama,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),46,0.9
113,Alabama,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,0.6
114,Alabama,2016,Drug-induced causes,All other drug-induced causes,99,2.0
115,Alabama,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",33,0.7
116,Alabama,2016,Alcohol-induced causes,All other alcohol-induced causes,362,7.4
118,Alabama,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),752,15.4
119,Alabama,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),52,1.1
120,Alabama,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),31,0.6
121,Alabama,2017,Drug-induced causes,All other drug-induced causes,125,2.6
122,Alabama,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",20,0.4
123,Alabama,2017,Alcohol-induced causes,All other alcohol-induced causes,367,7.5
125,Alaska,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),27,4.3
129,Alaska,1999,Alcohol-induced causes,All other alcohol-induced causes,80,12.8
131,Alaska,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),36,5.7
133,Alaska,2000,Alcohol-induced causes,All other alcohol-induced causes,88,14.0
135,Alaska,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),53,8.4
138,Alaska,2001,Alcohol-induced causes,All other alcohol-induced causes,109,17.2
140,Alaska,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),69,10.7
142,Alaska,2002,Alcohol-induced causes,All other alcohol-induced causes,118,18.4
144,Alaska,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),72,11.1
146,Alaska,2003,Alcohol-induced causes,All other alcohol-induced causes,120,18.5
148,Alaska,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),64,9.7
150,Alaska,2004,Alcohol-induced causes,All other alcohol-induced causes,102,15.5
152,Alaska,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),62,9.3
153,Alaska,2005,Alcohol-induced causes,All other alcohol-induced causes,120,18.0
155,Alaska,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),66,9.8
156,Alaska,2006,Alcohol-induced causes,All other alcohol-induced causes,135,20.0
158,Alaska,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),63,9.3
159,Alaska,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",21,3.1
160,Alaska,2007,Alcohol-induced causes,All other alcohol-induced causes,123,18.1
162,Alaska,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),91,13.2
164,Alaska,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,3.3
165,Alaska,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",32,4.7
166,Alaska,2008,Alcohol-induced causes,All other alcohol-induced causes,115,16.7
168,Alaska,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),101,14.5
169,Alaska,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,3.0
170,Alaska,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",28,4.0
171,Alaska,2009,Alcohol-induced causes,All other alcohol-induced causes,121,17.3
173,Alaska,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),74,10.4
174,Alaska,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",35,4.9
175,Alaska,2010,Alcohol-induced causes,All other alcohol-induced causes,87,12.2
177,Alaska,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),97,13.4
178,Alaska,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",31,4.3
179,Alaska,2011,Alcohol-induced causes,All other alcohol-induced causes,100,13.8
181,Alaska,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),113,15.4
184,Alaska,2012,Alcohol-induced causes,All other alcohol-induced causes,106,14.5
186,Alaska,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),92,12.5
188,Alaska,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",31,4.2
189,Alaska,2013,Alcohol-induced causes,All other alcohol-induced causes,95,12.9
191,Alaska,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),103,14.0
193,Alaska,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",29,3.9
194,Alaska,2014,Alcohol-induced causes,All other alcohol-induced causes,110,14.9
196,Alaska,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),105,14.2
198,Alaska,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",28,3.8
199,Alaska,2015,Alcohol-induced causes,All other alcohol-induced causes,133,18.0
201,Alaska,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),103,13.9
204,Alaska,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",25,3.4
205,Alaska,2016,Alcohol-induced causes,All other alcohol-induced causes,158,21.3
207,Alaska,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),123,16.6
210,Alaska,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,3.0
211,Alaska,2017,Alcohol-induced causes,All other alcohol-induced causes,137,18.5
213,Arizona,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),362,7.2
214,Arizona,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),112,2.2
215,Arizona,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),36,0.7
216,Arizona,1999,Drug-induced causes,All other drug-induced causes,46,0.9
218,Arizona,1999,Alcohol-induced causes,All other alcohol-induced causes,457,9.1
220,Arizona,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),399,7.8
221,Arizona,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),91,1.8
222,Arizona,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,0.6
223,Arizona,2000,Drug-induced causes,All other drug-induced causes,37,0.7
225,Arizona,2000,Alcohol-induced causes,All other alcohol-induced causes,461,9.0
227,Arizona,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),429,8.1
228,Arizona,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),80,1.5
229,Arizona,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),40,0.8
230,Arizona,2001,Drug-induced causes,All other drug-induced causes,46,0.9
231,Arizona,2001,Alcohol-induced causes,All other alcohol-induced causes,444,8.4
233,Arizona,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),464,8.6
234,Arizona,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),110,2.0
235,Arizona,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),48,0.9
236,Arizona,2002,Drug-induced causes,All other drug-induced causes,43,0.8
237,Arizona,2002,Alcohol-induced causes,All other alcohol-induced causes,507,9.4
239,Arizona,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),512,9.3
240,Arizona,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),106,1.9
241,Arizona,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),55,1.0
242,Arizona,2003,Drug-induced causes,All other drug-induced causes,65,1.2
244,Arizona,2003,Alcohol-induced causes,All other alcohol-induced causes,562,10.2
246,Arizona,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),549,9.7
247,Arizona,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),123,2.2
248,Arizona,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),71,1.3
249,Arizona,2004,Drug-induced causes,All other drug-induced causes,59,1.0
250,Arizona,2004,Alcohol-induced causes,All other alcohol-induced causes,586,10.4
252,Arizona,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),585,10.0
253,Arizona,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),115,2.0
254,Arizona,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),89,1.5
255,Arizona,2005,Drug-induced causes,All other drug-induced causes,55,0.9
256,Arizona,2005,Alcohol-induced causes,All other alcohol-induced causes,659,11.3
258,Arizona,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),663,11.0
259,Arizona,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),132,2.2
260,Arizona,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),78,1.3
261,Arizona,2006,Drug-induced causes,All other drug-induced causes,83,1.4
262,Arizona,2006,Alcohol-induced causes,All other alcohol-induced causes,656,10.9
264,Arizona,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),697,11.3
265,Arizona,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),179,2.9
266,Arizona,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),66,1.1
267,Arizona,2007,Drug-induced causes,All other drug-induced causes,38,0.6
268,Arizona,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",46,0.7
269,Arizona,2007,Alcohol-induced causes,All other alcohol-induced causes,701,11.4
271,Arizona,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),621,9.9
272,Arizona,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),149,2.4
273,Arizona,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),58,0.9
274,Arizona,2008,Drug-induced causes,All other drug-induced causes,25,0.4
275,Arizona,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",64,1.0
276,Arizona,2008,Alcohol-induced causes,All other alcohol-induced causes,720,11.5
278,Arizona,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),757,11.9
279,Arizona,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),173,2.7
280,Arizona,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),70,1.1
281,Arizona,2009,Drug-induced causes,All other drug-induced causes,39,0.6
282,Arizona,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",75,1.2
283,Arizona,2009,Alcohol-induced causes,All other alcohol-induced causes,729,11.5
285,Arizona,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),843,13.2
286,Arizona,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),159,2.5
287,Arizona,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),95,1.5
288,Arizona,2010,Drug-induced causes,All other drug-induced causes,43,0.7
289,Arizona,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",83,1.3
290,Arizona,2010,Alcohol-induced causes,All other alcohol-induced causes,904,14.1
292,Arizona,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),811,12.5
293,Arizona,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),178,2.7
294,Arizona,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),82,1.3
295,Arizona,2011,Drug-induced causes,All other drug-induced causes,47,0.7
296,Arizona,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",104,1.6
297,Arizona,2011,Alcohol-induced causes,All other alcohol-induced causes,904,13.9
299,Arizona,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),843,12.9
300,Arizona,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),165,2.5
301,Arizona,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),125,1.9
302,Arizona,2012,Drug-induced causes,All other drug-induced causes,72,1.1
303,Arizona,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",96,1.5
304,Arizona,2012,Alcohol-induced causes,All other alcohol-induced causes,960,14.6
306,Arizona,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),942,14.2
307,Arizona,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),161,2.4
308,Arizona,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),119,1.8
309,Arizona,2013,Drug-induced causes,All other drug-induced causes,82,1.2
310,Arizona,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",102,1.5
311,Arizona,2013,Alcohol-induced causes,All other alcohol-induced causes,1036,15.6
313,Arizona,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),934,13.9
314,Arizona,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),166,2.5
315,Arizona,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),110,1.6
316,Arizona,2014,Drug-induced causes,All other drug-induced causes,63,0.9
317,Arizona,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",86,1.3
318,Arizona,2014,Alcohol-induced causes,All other alcohol-induced causes,1084,16.1
320,Arizona,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),998,14.6
321,Arizona,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),173,2.5
322,Arizona,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),102,1.5
323,Arizona,2015,Drug-induced causes,All other drug-induced causes,77,1.1
324,Arizona,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",82,1.2
325,Arizona,2015,Alcohol-induced causes,All other alcohol-induced causes,1195,17.5
327,Arizona,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1141,16.5
328,Arizona,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),140,2.0
329,Arizona,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),100,1.4
330,Arizona,2016,Drug-induced causes,All other drug-induced causes,118,1.7
331,Arizona,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",141,2.0
332,Arizona,2016,Alcohol-induced causes,All other alcohol-induced causes,1186,17.1
334,Arizona,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1297,18.5
335,Arizona,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),143,2.0
336,Arizona,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),89,1.3
337,Arizona,2017,Drug-induced causes,All other drug-induced causes,96,1.4
338,Arizona,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",99,1.4
339,Arizona,2017,Alcohol-induced causes,All other alcohol-induced causes,1129,16.1
341,Arkansas,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),31,1.2
342,Arkansas,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),32,1.2
343,Arkansas,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),49,1.8
344,Arkansas,1999,Alcohol-induced causes,All other alcohol-induced causes,119,4.5
346,Arkansas,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),46,1.7
347,Arkansas,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),30,1.1
348,Arkansas,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),64,2.4
350,Arkansas,2000,Alcohol-induced causes,All other alcohol-induced causes,108,4.0
352,Arkansas,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),40,1.5
353,Arkansas,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),33,1.2
354,Arkansas,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),53,2.0
355,Arkansas,2001,Alcohol-induced causes,All other alcohol-induced causes,159,5.9
357,Arkansas,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),59,2.2
358,Arkansas,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),40,1.5
359,Arkansas,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),76,2.8
361,Arkansas,2002,Alcohol-induced causes,All other alcohol-induced causes,130,4.8
363,Arkansas,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),61,2.2
364,Arkansas,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),42,1.5
365,Arkansas,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),81,3.0
367,Arkansas,2003,Alcohol-induced causes,All other alcohol-induced causes,133,4.9
369,Arkansas,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),93,3.4
370,Arkansas,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),46,1.7
371,Arkansas,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),88,3.2
373,Arkansas,2004,Alcohol-induced causes,All other alcohol-induced causes,124,4.5
375,Arkansas,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),109,3.9
376,Arkansas,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),48,1.7
377,Arkansas,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),112,4.0
379,Arkansas,2005,Alcohol-induced causes,All other alcohol-induced causes,140,5.0
381,Arkansas,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),135,4.8
382,Arkansas,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),38,1.3
383,Arkansas,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),112,4.0
384,Arkansas,2006,Drug-induced causes,All other drug-induced causes,22,0.8
385,Arkansas,2006,Alcohol-induced causes,All other alcohol-induced causes,169,6.0
387,Arkansas,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),129,4.5
388,Arkansas,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),44,1.5
389,Arkansas,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),128,4.5
390,Arkansas,2007,Drug-induced causes,All other drug-induced causes,25,0.9
392,Arkansas,2007,Alcohol-induced causes,All other alcohol-induced causes,155,5.4
394,Arkansas,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),197,6.9
395,Arkansas,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),68,2.4
396,Arkansas,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),95,3.3
397,Arkansas,2008,Drug-induced causes,All other drug-induced causes,30,1.0
398,Arkansas,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",22,0.8
399,Arkansas,2008,Alcohol-induced causes,All other alcohol-induced causes,178,6.2
401,Arkansas,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),220,7.6
402,Arkansas,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),41,1.4
403,Arkansas,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),90,3.1
404,Arkansas,2009,Drug-induced causes,All other drug-induced causes,33,1.1
405,Arkansas,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",23,0.8
406,Arkansas,2009,Alcohol-induced causes,All other alcohol-induced causes,150,5.2
408,Arkansas,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),227,7.8
