Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1992,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
Kansas,2523000,12888,151,1042,,3277,8418,121334,32639,80526,8169,510.8,6,41.3,,129.9,333.7,4809.1,1293.7,3191.7,323.8
Kentucky,3755000,20107,216,1209,,3273,15409,104692,27378,69186,8128,535.5,5.8,32.2,,87.2,410.4,2788.1,729.1,1842.5,216.5
Louisiana,4287000,42209,747,1813,,11636,28013,238438,58574,152938,26926,984.6,17.4,42.3,,271.4,653.4,5561.9,1366.3,3567.5,628.1
Maine,1235000,1616,21,294,,288,1013,41900,10156,29966,1778,130.9,1.7,23.8,,23.3,82,3392.7,822.3,2426.4,144
Maryland,4908000,49085,596,2278,,21054,25157,256418,55520,165244,35654,1000.1,12.1,46.4,,429,512.6,5224.5,1131.2,3366.8,726.4
Massachusetts,5998000,46727,214,2166,,11059,33288,253344,64318,141610,47416,779,3.6,36.1,,184.4,555,4223.8,1072.3,2361,790.5
Michigan,9437000,72672,938,7550,,20902,43282,456800,98257,299486,59057,770.1,9.9,80,,221.5,458.6,4840.5,1041.2,3173.5,625.8
Minnesota,4480000,15144,150,1840,,4906,8248,190520,39859,134750,15911,338,3.3,41.1,,109.5,184.1,4252.7,889.7,3007.8,355.2
Mississippi,2614000,10763,320,1166,,3254,6023,101181,33533,58851,8797,411.7,12.2,44.6,,124.5,230.4,3870.7,1282.8,2251.4,336.5
Missouri,5193000,38448,547,1895,,11783,24223,226246,57127,143288,25831,740.4,10.5,36.5,,226.9,466.5,4356.7,1100.1,2759.3,497.4
Montana,824000,1400,24,210,,222,944,36472,5306,29243,1923,169.9,2.9,25.5,,26.9,114.6,4426.2,643.9,3548.9,233.4
Nebraska,1606000,5598,68,504,,911,4115,63846,11477,49144,3225,348.6,4.2,31.4,,56.7,256.2,3975.5,714.6,3060,200.8
Nevada,1327000,9247,145,833,,4397,3872,73077,17108,46714,9255,696.8,10.9,62.8,,331.3,291.8,5506.9,1289.2,3520.3,697.4
New Hampshire,1111000,1397,18,424,,367,588,32828,6909,23754,2165,125.7,1.6,38.2,,33,52.9,2954.8,621.9,2138.1,194.9
New Jersey,7789000,48745,397,2392,,22216,23740,345718,75508,206686,63524,625.8,5.1,30.7,,285.2,304.8,4438.5,969.4,2653.6,815.6
New Mexico,1581000,14781,141,990,,2202,11448,86942,23896,57072,5974,934.9,8.9,62.6,,139.3,724.1,5499.2,1511.4,3609.9,377.9
New York,18119000,203311,2397,5152,,108154,87608,858178,193548,495708,168922,1122.1,13.2,28.4,,596.9,483.5,4736.3,1068.2,2735.8,932.3
North Carolina,6843000,46600,723,2455,,12784,30638,350447,113117,217717,19613,681,10.6,35.9,,186.8,447.7,5121.2,1653,3181.6,286.6
North Dakota,636000,530,12,148,,50,320,17935,2487,14498,950,83.3,1.9,23.3,,7.9,50.3,2820,391,2279.6,149.4
Ohio,11016000,57935,724,5739,,21925,29547,456017,104357,299774,51886,525.9,6.6,52.1,,199,268.2,4139.6,947.3,2721.3,471
Oklahoma,3212000,20005,210,1556,,4376,13863,154459,43678,94180,16601,622.8,6.5,48.4,,136.2,431.6,4808.8,1359.8,2932.1,516.8
Oregon,2977000,15189,139,1580,,4507,8963,158100,32945,109274,15881,510.2,4.7,53.1,,151.4,301.1,5310.7,1106.7,3670.6,533.5
Pennsylvania,12009000,51276,746,3324,,21701,25505,356155,75834,224150,56171,427,6.2,27.7,,180.7,212.4,2965.7,631.5,1866.5,467.7
Rhode Island,1005000,3965,36,311,,950,2668,42044,10529,24052,7463,394.5,3.6,30.9,,94.5,265.5,4183.5,1047.7,2393.2,742.6
South Carolina,3603000,34029,373,2072,,6148,25436,178298,49669,116186,12443,944.5,10.4,57.5,,170.6,706,4948.6,1378.5,3224.7,345.4
South Dakota,711000,1383,4,368,,120,891,19939,3849,15371,719,194.5,0.6,51.8,,16.9,125.3,2804.4,541.4,2161.9,101.1
Tennessee,5024000,37487,520,2377,,10964,23626,220534,63665,127934,28935,746.2,10.4,47.3,,218.2,470.3,4389.6,1267.2,2546.5,575.9
Texas,17656000,142369,2239,9437,,44588,86105,1103779,268928,689780,145071,806.3,12.7,53.4,,252.5,487.7,6251.6,1523.2,3906.8,821.7
Utah,1813000,5267,54,823,,1014,3376,97322,16045,76964,4313,290.5,3,45.4,,55.9,186.2,5368,885,4245.1,237.9
Vermont,570000,624,12,142,,51,419,18813,4706,13507,600,109.5,2.1,24.9,,8.9,73.5,3300.5,825.6,2369.6,105.3
Virginia,6377000,23907,564,2008,,8787,12548,250211,45217,185506,19488,374.9,8.8,31.5,,137.8,196.8,3923.6,709.1,2909,305.6
Washington,5136000,27454,258,3697,,7178,16321,289581,57612,207755,24214,534.5,5,72,,139.8,317.8,5638.3,1121.7,4045.1,471.5
West Virginia,1812000,3833,115,393,,788,2537,43455,11287,29200,2968,211.5,6.3,21.7,,43.5,140,2398.2,622.9,1611.5,163.8
Wisconsin,5007000,13806,218,1315,,5997,6276,202448,34645,146198,21605,275.7,4.4,26.3,,119.8,125.3,4043.3,691.9,2919.9,431.5
Wyoming,466000,1489,17,163,,84,1225,19831,3127,16003,701,319.5,3.6,35,,18,262.9,4255.6,671,3434.1,150.4
,,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		","1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"           Rates are the number of reported offenses per 100,000 population  ",,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Alabama - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Delaware - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate. ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"District of Columbia - ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"1999-2008 District of Columbia data include reports from the Zoological Police ",,,,,,,,,,,,,,,,,,,
,,"2002-2008 data include reports from the Metro Transit Police ",,,,,,,,,,,,,,,,,,,
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Florida - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates. ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Illinois - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006. ",,,,,,,,,,,,,,,,,,,
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois. ",,,,,,,,,,,,,,,,,,,
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Kansas - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  ",,,,,,,,,,,,,,,,,,,
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division. ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Kentucky - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.   ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Minnesota - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Montana - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division. ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,New Hampshire - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,New York - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total.,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,,,,,,,,,,,,,,,,,,,,
