Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2015,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
Idaho,"1,654,930","3,568",32,533,694,192,"2,650","28,858","6,124","20,863","1,871",215.6,1.9,32.2,41.9,11.6,160.1,"1,743.80",370,"1,260.70",113.1
Illinois,"12,859,995","49,354",744,"3,549","4,821","14,910","28,879","255,729","46,443","191,634","17,652",383.8,5.8,27.6,37.5,115.9,224.6,"1,988.60",361.1,"1,490.20",137.3
Indiana,"6,619,680","25,653",373,"1,789","2,404","7,111","15,765","171,847","34,410","123,918","13,519",387.5,5.6,27,36.3,107.4,238.2,"2,596.00",519.8,"1,872.00",204.2
Iowa,"3,123,899","8,936",72,851,"1,156","1,047","6,661","63,957","14,892","44,723","4,342",286.1,2.3,27.2,37,33.5,213.2,"2,047.30",476.7,"1,431.60",139
Kansas,"2,911,641","11,353",128,"1,251","1,615","1,818","7,792","79,199","15,362","56,880","6,957",389.9,4.4,43,55.5,62.4,267.6,"2,720.10",527.6,"1,953.50",238.9
Kentucky,"4,425,092","9,676",209,997,"1,492","3,307","4,668","96,362","22,260","66,320","7,782",218.7,4.7,22.5,33.7,74.7,105.5,"2,177.60",503,"1,498.70",175.9
Louisiana,"4,670,724","25,208",481,"1,260","1,723","5,550","17,454","156,629","35,453","111,435","9,741",539.7,10.3,27,36.9,118.8,373.7,"3,353.40",759,"2,385.80",208.6
Maine,"1,329,328","1,729",23,354,474,311,921,"24,327","4,684","18,829",814,130.1,1.7,26.6,35.7,23.4,69.3,"1,830.00",352.4,"1,416.40",61.2
Maryland,"6,006,401","27,462",516,"1,184","1,666","9,863","15,417","139,048","25,678","100,219","13,151",457.2,8.6,19.7,27.7,164.2,256.7,"2,315.00",427.5,"1,668.50",218.9
Massachusetts,"6,794,422","26,562",128,"1,608","2,075","5,288","19,071","114,871","21,890","84,912","8,069",390.9,1.9,23.7,30.5,77.8,280.7,"1,690.70",322.2,"1,249.70",118.8
Michigan,"9,922,576","41,231",571,"4,163","6,450","7,796","26,414","187,101","40,041","131,296","15,764",415.5,5.8,42,65,78.6,266.2,"1,885.60",403.5,"1,323.20",158.9
Minnesota,"5,489,594","13,319",133,"1,686","2,321","3,771","7,094","121,984","19,299","94,704","7,981",242.6,2.4,30.7,42.3,68.7,129.2,"2,222.10",351.6,"1,725.20",145.4
Mississippi,"2,992,333","8,254",259,862,"1,203","2,294","4,498","84,790","24,799","55,748","4,243",275.8,8.7,28.8,40.2,76.7,150.3,"2,833.60",828.8,"1,863.00",141.8
Missouri,"6,083,672","30,261",502,"1,854","2,553","6,376","20,830","173,642","34,006","122,637","16,999",497.4,8.3,30.5,42,104.8,342.4,"2,854.20",559,"2,015.80",279.4
Montana,"1,032,949","3,611",36,431,547,210,"2,818","27,100","3,838","20,844","2,418",349.6,3.5,41.7,53,20.3,272.8,"2,623.60",371.6,"2,017.90",234.1
Nebraska,"1,896,190","5,212",62,652,873,994,"3,283","42,495","6,422","32,072","4,001",274.9,3.3,34.4,46,52.4,173.1,"2,241.10",338.7,"1,691.40",211
Nevada,"2,890,845","20,118",178,"1,238","1,688","6,287","11,965","77,137","22,360","43,426","11,351",695.9,6.2,42.8,58.4,217.5,413.9,"2,668.30",773.5,"1,502.20",392.7
New Hampshire,"1,330,608","2,652",14,461,627,468,"1,543","23,229","3,467","18,871",891,199.3,1.1,34.6,47.1,35.2,116,"1,745.70",260.6,"1,418.20",67
New Jersey,"8,958,013","22,879",363,"1,019","1,373","9,729","11,414","145,701","27,960","105,963","11,778",255.4,4.1,11.4,15.3,108.6,127.4,"1,626.50",312.1,"1,182.90",131.5
New Mexico,"2,085,109","13,681",117,"1,215","1,672","2,485","9,407","77,094","17,085","51,483","8,526",656.1,5.6,58.3,80.2,119.2,451.2,"3,697.40",819.4,"2,469.10",408.9
New York,"19,795,791","75,165",609,"4,389","6,074","23,936","44,546","317,529","44,276","257,940","15,313",379.7,3.1,22.2,30.7,120.9,225,"1,604.00",223.7,"1,303.00",77.4
North Carolina,"10,042,802","34,852",517,"1,939","2,684","8,825","22,826","276,183","74,841","187,907","13,435",347,5.1,19.3,26.7,87.9,227.3,"2,750.10",745.2,"1,871.10",133.8
North Dakota,"756,927","1,812",21,276,345,148,"1,298","16,020","2,997","11,440","1,583",239.4,2.8,36.5,45.6,19.6,171.5,"2,116.50",395.9,"1,511.40",209.1
Ohio,"11,613,423","33,898",500,"4,154","5,149","12,554","15,695","300,525","69,303","213,993","17,229",291.9,4.3,35.8,44.3,108.1,135.1,"2,587.70",596.7,"1,842.60",148.4
Oklahoma,"3,911,338","16,506",234,"1,352","1,849","3,005","11,418","112,878","28,406","74,022","10,450",422,6,34.6,47.3,76.8,291.9,"2,885.90",726.2,"1,892.50",267.2
Oregon,"4,028,977","10,468",99,"1,164","1,593","2,146","6,630","118,719","18,336","89,836","10,547",259.8,2.5,28.9,39.5,53.3,164.6,"2,946.60",455.1,"2,229.70",261.8
Pennsylvania,"12,802,503","40,339",658,"3,122","4,305","13,003","22,373","232,085","39,664","180,287","12,134",315.1,5.1,24.4,33.6,101.6,174.8,"1,812.80",309.8,"1,408.20",94.8
Rhode Island,"1,056,298","2,562",29,338,459,556,"1,518","20,043","3,947","14,707","1,389",242.5,2.7,32,43.5,52.6,143.7,"1,897.50",373.7,"1,392.30",131.5
South Carolina,"4,896,146","24,700",399,"1,707","2,297","3,931","18,073","161,245","34,551","113,724","12,970",504.5,8.1,34.9,46.9,80.3,369.1,"3,293.30",705.7,"2,322.70",264.9
South Dakota,"858,469","3,289",32,441,495,216,"2,546","16,680","2,960","12,532","1,188",383.1,3.7,51.4,57.7,25.2,296.6,"1,943.00",344.8,"1,459.80",138.4
Tennessee,"6,600,299","40,400",406,"1,966","2,676","7,474","29,844","193,796","43,247","137,679","12,870",612.1,6.2,29.8,40.5,113.2,452.2,"2,936.20",655.2,"2,086.00",195
Texas,"27,469,114","113,227","1,316","8,925","12,250","31,934","67,727","777,739","153,054","557,200","67,485",412.2,4.8,32.5,44.6,116.3,246.6,"2,831.30",557.2,"2,028.50",245.7
Utah,"2,995,919","7,071",54,"1,098","1,645","1,326","4,046","89,278","12,468","68,103","8,707",236,1.8,36.6,54.9,44.3,135.1,"2,980.00",416.2,"2,273.20",290.6
Vermont,"626,042",739,10,121,136,101,492,"8,806","1,968","6,660",178,118,1.6,19.3,21.7,16.1,78.6,"1,406.60",314.4,"1,063.80",28.4
Virginia,"8,382,993","16,399",383,"1,493","2,340","4,441","9,235","156,470","21,340","127,019","8,111",195.6,4.6,17.8,27.9,53,110.2,"1,866.50",254.6,"1,515.20",96.8
Washington,"7,170,351","20,394",211,"2,193","2,705","5,449","12,029","248,369","50,993","170,509","26,867",284.4,2.9,30.6,37.7,76,167.8,"3,463.80",711.2,"2,378.00",374.7
West Virginia,"1,844,128","6,231",70,420,672,760,"4,729","37,251","9,170","25,842","2,239",337.9,3.8,22.8,36.4,41.2,256.4,"2,020.00",497.3,"1,401.30",121.4
Wisconsin,"5,771,337","17,647",240,"1,224","1,780","5,232","10,395","113,924","19,554","83,385","10,985",305.8,4.2,21.2,30.8,90.7,180.1,"1,974.00",338.8,"1,444.80",190.3
Wyoming,"586,107","1,302",16,125,173,59,"1,054","11,151","1,762","8,797",592,222.1,2.7,21.3,29.5,10.1,179.8,"1,902.60",300.6,"1,500.90",101
,,,,,,,,,,,,,,,,,,,,,
"1  The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,,,,,,,,,
2 The figures shown in the rape (revised definition) column were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,,
3 The figures shown in the rape (legacy definition) column were estimated using the legacy UCR definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,,
4  Includes offenses reported by the Metro Transit Police and the Arson Investigation Unit of the District of Columbia Fire and Emergency Medical Services.,,,,,,,,,,,,,,,,,,,,,
5  This state's agencies submitted rape data according to the legacy UCR definition of rape.  ,,,,,,,,,,,,,,,,,,,,,
6  Agencies within this state submitted rape data according to both the revised UCR definition of rape and the legacy UCR definition of rape.  ,,,,,,,,,,,,,,,,,,,,,
7  The figures submitted by Puerto Rico for rape were not verified and may not be comparable to previous years' data.,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,,,,,,,,,,,,
