Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 1991,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
Kansas,2495000,12465,153,1118,,3453,7741,125616,32601,84258,8757,499.6,6.1,44.8,,138.4,310.3,5034.7,1306.7,3377.1,351
Kentucky,3713000,16262,253,1315,,3084,11610,108430,29576,70885,7969,438,6.8,35.4,,83.1,312.7,2920.3,796.6,1909.1,214.6
Louisiana,4252000,40438,720,1738,,11860,26120,232732,60017,148334,24381,951,16.9,40.9,,278.9,614.3,5473.5,1411.5,3488.6,573.4
Maine,1235000,1631,15,270,,280,1066,44900,11146,31737,2017,132.1,1.2,21.9,,22.7,86.3,3635.6,902.5,2569.8,163.3
Maryland,4860000,46469,569,2229,,19783,23888,255299,56258,163524,35517,956.2,11.7,45.9,,407.1,491.5,5253.1,1157.6,3364.7,730.8
Massachusetts,5996000,44138,249,1926,,11669,30294,274990,69977,149930,55083,736.1,4.2,32.1,,194.6,505.2,4586.2,1167.1,2500.5,918.7
Michigan,9368000,75232,1009,7372,,22790,44061,499781,111126,324985,63670,803.1,10.8,78.7,,243.3,470.3,5335,1186.2,3469.1,679.7
Minnesota,4432000,14006,131,1762,,4345,7768,185268,37832,131330,16106,316,3,39.8,,98,175.3,4180.2,853.6,2963.2,363.4
Mississippi,2592000,10085,332,1199,,3015,5539,99317,34524,57373,7420,389.1,12.8,46.3,,116.3,213.7,3831.7,1331.9,2213.5,286.3
Missouri,5158000,39358,543,1756,,12952,24107,239982,64643,146533,28806,763,10.5,34,,251.1,467.4,4652.6,1253.3,2840.9,558.5
Montana,808000,1130,21,160,,150,799,28347,4231,22449,1667,139.9,2.6,19.8,,18.6,98.9,3508.3,523.6,2778.3,206.3
Nebraska,1593000,5330,52,447,,861,3970,64031,11574,49071,3386,334.6,3.3,28.1,,54,249.2,4019.5,726.6,3080.4,212.6
Nevada,1284000,8693,152,848,,4012,3681,72183,18026,45781,8376,677,11.8,66,,312.5,286.7,5621.7,1403.9,3565.5,652.3
New Hampshire,1105000,1318,40,330,,365,583,36780,8126,26220,2434,119.3,3.6,29.9,,33,52.8,3328.5,735.4,2372.9,220.3
New Jersey,7760000,49257,406,2259,,22744,23848,372212,78821,221544,71847,634.8,5.2,29.1,,293.1,307.3,4796.5,1015.7,2854.9,925.9
New Mexico,1548000,12922,163,811,,1862,10086,90474,26672,58441,5361,834.8,10.5,52.4,,120.3,651.6,5844.6,1723,3775.3,346.3
New York,18058000,210184,2571,5085,,112342,90186,917467,204499,531681,181287,1163.9,14.2,28.2,,622.1,499.4,5080.7,1132.5,2944.3,1003.9
North Carolina,6737000,44355,769,2331,,11990,29265,352368,114009,218192,20167,658.4,11.4,34.6,,178,434.4,5230.3,1692.3,3238.7,299.3
North Dakota,635000,415,7,116,,51,241,17326,2367,14154,805,65.4,1.1,18.3,,8,38,2728.5,372.8,2229,126.8
Ohio,10939000,61460,783,5748,,23536,31393,489100,115423,318933,54744,561.8,7.2,52.5,,215.2,287,4471.2,1055.2,2915.6,500.4
Oklahoma,3175000,18533,230,1615,,4094,12594,161449,46934,96842,17673,583.7,7.2,50.9,,128.9,396.7,5085,1478.2,3050.1,556.6
Oregon,2922000,14795,133,1561,,4387,8714,153370,34363,105145,13862,506.3,4.6,53.4,,150.1,298.2,5248.8,1176,3598.4,474.4
Pennsylvania,11961000,53824,758,3435,,23191,26440,371814,86074,228142,57598,450,6.3,28.7,,193.9,221.1,3108.6,719.6,1907.4,481.5
Rhode Island,1004000,4638,37,310,,1234,3057,45957,11320,26664,7973,462,3.7,30.9,,122.9,304.5,4577.4,1127.5,2655.8,794.1
South Carolina,3560000,34621,402,2098,,6092,26029,185359,51793,119784,13782,972.5,11.3,58.9,,171.1,731.2,5206.7,1454.9,3364.7,387.1
South Dakota,703000,1281,12,279,,132,858,20366,4146,15412,808,182.2,1.7,39.7,,18.8,122,2897,589.8,2192.3,114.9
Tennessee,4953000,35955,547,2299,,10543,22566,229856,67608,131855,30393,725.9,11,46.4,,212.9,455.6,4640.7,1365,2662.1,613.6
Texas,17349000,145743,2652,9266,,49700,84125,1210784,312693,734261,163830,840.1,15.3,53.4,,286.5,484.9,6979,1802.4,4232.3,944.3
Utah,1770000,5077,52,808,,976,3241,94178,14872,75041,4265,286.8,2.9,45.6,,55.1,183.1,5320.8,840.2,4239.6,241
Vermont,567000,662,12,173,,67,410,21764,5784,15161,819,116.8,2.1,30.5,,11.8,72.3,3838.4,1020.1,2673.9,144.4
Virginia,6286000,23459,583,1879,,8651,12346,266160,49224,195652,21284,373.2,9.3,29.9,,137.6,196.4,4234.2,783.1,3112.5,338.6
Washington,5018000,26224,211,3529,,7303,15181,290115,61996,205814,22305,522.6,4.2,70.3,,145.5,302.5,5781.5,1235.5,4101.5,444.5
West Virginia,1801000,3440,111,415,,779,2135,44528,12009,29369,3150,191,6.2,23,,43.3,118.5,2472.4,666.8,1630.7,174.9
Wisconsin,4955000,13723,239,1259,,5895,6330,207560,37241,148695,21624,277,4.8,25.4,,119,127.7,4188.9,751.6,3000.9,436.4
Wyoming,460000,1427,15,119,,79,1214,18762,3184,14867,711,310.2,3.3,25.9,,17.2,263.9,4078.7,692.2,3232,154.6
,,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		","1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"           Rates are the number of reported offenses per 100,000 population  ",,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Alabama - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Delaware - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate. ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"District of Columbia - ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"1999-2008 District of Columbia data include reports from the Zoological Police ",,,,,,,,,,,,,,,,,,,
,,"2002-2008 data include reports from the Metro Transit Police ",,,,,,,,,,,,,,,,,,,
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Florida - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates. ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Illinois - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006. ",,,,,,,,,,,,,,,,,,,
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois. ",,,,,,,,,,,,,,,,,,,
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Kansas - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  ",,,,,,,,,,,,,,,,,,,
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division. ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Kentucky - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.   ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Minnesota - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Montana - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division. ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,New Hampshire - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,New York - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total.,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,,,,,,,,,,,,,,,,,,,,
