Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
National or state crime in 2007,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
Kansas,2775997,12730,106,1287,,2022,9315,102961,20461,73900,8600,458.6,3.8,46.4,,72.8,335.6,3709,737.1,2662.1,309.8
Kentucky,4241474,12329,206,1365,,4068,6690,107987,27820,71489,8678,290.7,4.9,32.2,,95.9,157.7,2546,655.9,1685.5,204.6
Louisiana,4293204,31789,625,1427,,6316,23421,180516,46932,118291,15293,740.4,14.6,33.2,,147.1,545.5,4204.7,1093.2,2755.3,356.2
Maine,1317207,1565,20,392,,349,804,32249,6745,24228,1276,118.8,1.5,29.8,,26.5,61,2448.3,512.1,1839.3,96.9
Maryland,5618344,36063,554,1179,,13258,21072,192796,37095,127308,28393,641.9,9.9,21,,236,375.1,3431.5,660.2,2265.9,505.4
Massachusetts,6449755,28487,187,1643,,7021,19636,154743,35767,103925,15051,441.7,2.9,25.5,,108.9,304.4,2399.2,554.5,1611.3,233.4
Michigan,10071822,53765,661,4592,,13365,35147,308550,75273,191289,41988,533.8,6.6,45.6,,132.7,349,3063.5,747.4,1899.2,416.9
Minnesota,5197621,15054,116,1873,,4770,8295,158257,29717,115892,12648,289.6,2.2,36,,91.8,159.6,3044.8,571.7,2229.7,243.3
Mississippi,2918785,8502,202,1033,,2896,4371,90887,27223,56473,7191,291.3,6.9,35.4,,99.2,149.8,3113.9,932.7,1934.8,246.4
Missouri,5878415,32962,367,1785,,7728,23082,225113,44897,156319,23897,560.7,6.2,30.4,,131.5,392.7,3829.5,763.8,2659.2,406.5
Montana,957861,3638,27,363,,233,3015,27837,3476,22315,2046,379.8,2.8,37.9,,24.3,314.8,2906.2,362.9,2329.7,213.6
Nebraska,1774571,5524,71,550,,1115,3788,55765,9035,41484,5246,311.3,4,31,,62.8,213.5,3142.4,509.1,2337.7,295.6
Nevada,2565382,19365,193,1096,,6938,11138,97118,24911,49844,22363,754.9,7.5,42.7,,270.4,434.2,3785.7,971,1942.9,871.7
New Hampshire,1315828,1896,12,357,,451,1076,26394,5074,19909,1411,144.1,0.9,27.1,,34.3,81.8,2005.9,385.6,1513,107.2
New Jersey,8685920,28544,381,1032,,12567,14564,192338,37234,133145,21959,328.6,4.4,11.9,,144.7,167.7,2214.4,428.7,1532.9,252.8
New Mexico,1969915,13311,183,1028,,2323,9777,75168,20823,45442,8903,675.7,9.3,52.2,,117.9,496.3,3815.8,1057.1,2306.8,451.9
New York,19297729,79962,805,2928,,31085,45144,383624,64914,290681,28029,414.4,4.2,15.2,,161.1,233.9,1987.9,336.4,1506.3,145.2
North Carolina,9061032,42231,584,2386,,13534,25727,369893,108700,233241,27952,466.1,6.4,26.3,,149.4,283.9,4082.2,1199.6,2574.1,308.5
North Dakota,639715,1343,17,252,,75,999,12796,2314,9500,982,209.9,2.7,39.4,,11.7,156.2,2000.3,361.7,1485,153.5
Ohio,11466917,40759,529,4661,,18351,17218,397681,99049,264677,33955,355.4,4.6,40.6,,160,150.2,3468.1,863.8,2308.2,296.1
Oklahoma,3617316,18234,224,1565,,3392,13053,128714,34367,80747,13600,504.1,6.2,43.3,,93.8,360.8,3558.3,950.1,2232.2,376
Oregon,3747455,11015,76,1276,,2864,6799,132773,22979,95157,14637,293.9,2,34,,76.4,181.4,3543,613.2,2539.2,390.6
Pennsylvania,12432792,51806,725,3443,,19440,28198,293850,56091,211248,26511,416.7,5.8,27.7,,156.4,226.8,2363.5,451.2,1699.1,213.2
Rhode Island,1057832,2424,19,258,,760,1387,27576,5206,19175,3195,229.1,1.8,24.4,,71.8,131.1,2606.8,492.1,1812.7,302
South Carolina,4407709,34630,364,1773,,6354,26139,189304,45398,126802,17104,785.7,8.3,40.2,,144.2,593,4294.8,1030,2876.8,388
South Dakota,796214,1926,31,433,,118,1344,13829,2647,10398,784,241.9,3.9,54.4,,14.8,168.8,1736.8,332.4,1305.9,98.5
Tennessee,6156719,46482,405,2201,,11033,32843,252342,61817,168807,21718,755,6.6,35.7,,179.2,533.4,4098.6,1004.1,2741.8,352.8
Texas,23904380,122014,1419,8460,,38778,73357,985421,228320,663101,94000,510.4,5.9,35.4,,162.2,306.9,4122.3,955.1,2774,393.2
Utah,2645330,6347,59,935,,1425,3928,93082,15594,68573,8915,239.9,2.2,35.3,,53.9,148.5,3518.7,589.5,2592.2,337
Vermont,621254,802,13,128,,79,582,14702,3200,10853,649,129.1,2.1,20.6,,12.7,93.7,2366.5,515.1,1747,104.5
Virginia,7712091,21035,415,1793,,7696,11131,191763,32028,145634,14101,272.8,5.4,23.2,,99.8,144.3,2486.5,415.3,1888.4,182.8
Washington,6468424,21768,174,2653,,6079,12862,261776,52874,170782,38120,336.5,2.7,41,,94,198.8,4047,817.4,2640.2,589.3
West Virginia,1812035,5016,65,388,,847,3716,45620,10822,31321,3477,276.8,3.6,21.4,,46.7,205.1,2517.6,597.2,1728.5,191.9
Wisconsin,5601640,16330,185,1227,,5480,9438,159305,27890,117957,13458,291.5,3.3,21.9,,97.8,168.5,2843.9,497.9,2105.8,240.3
Wyoming,522830,1344,21,172,,84,1067,15053,2365,11875,813,257.1,4,32.9,,16.1,204.1,2879.1,452.3,2271.3,155.5
,,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		","1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,,,
"		",Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"           Rates are the number of reported offenses per 100,000 population  ",,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Alabama - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Delaware - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate. ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"District of Columbia - ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"1999-2008 District of Columbia data include reports from the Zoological Police ",,,,,,,,,,,,,,,,,,,
,,"2002-2008 data include reports from the Metro Transit Police ",,,,,,,,,,,,,,,,,,,
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Florida - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates. ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Illinois - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006. ",,,,,,,,,,,,,,,,,,,
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois. ",,,,,,,,,,,,,,,,,,,
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Kansas - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  ",,,,,,,,,,,,,,,,,,,
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.   ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division. ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Kentucky - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.   ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate.  ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Minnesota - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Montana - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.   ",,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division. ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total.  ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located. ",,,,,,,,,,,,,,,,,,,
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,New Hampshire - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.   ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received. ,,,,,,,,,,,,,,,,,,,
,,The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division.  ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,New York - ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.  ",,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate.",,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total.,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,,,,,,,,,,,,,,,,,,,,
